PUBLICATION_DATE,UID,lat,lon,DATE_COL,SITE_ID,SITE_USE,STATE,REGION,VISIT_NO,SAMPLE_TYPE,COND,COND_USEABILITY,NH3,NH3_USEABILITY,NO3NO2,NO3NO2_USEABILITY,PH,PH_USEABILITY,TKN,TKN_USEABILITY,TN,TN_USEABILITY,TP,TP_USEABILITY,CONDUCTIVITY_FIELD,PH_FIELD
7/28/2016,2672,28.2749,-80.726257,5/13/2011,NWCA11-1299,NWCA_PROBABILITY,FL,CPL,1,CHEM,1526,"USE - field & lab, flag issue minor",0.025,USE,0.024,USE - flag issue minor,8.14,USE,,,1.223,USE - flag issue minor,29,USE - flag issue minor,1650,8.19
7/28/2016,2750,32.39981,-80.65882,4/13/2011,NWCA11-2418,NWCA_PROBABILITY,SC,CPL,1,CHEM,45140,"USE - only lab, no issues",0,USE,0.001,USE - account for <DL/LRL,7.73,USE,,,0.448,USE - no issues,118,USE - no issues,,
7/28/2016,2752,34.18050366,-79.54721339,5/11/2011,NWCA11-2432,NWCA_PROBABILITY,SC,CPL,1,CHEM,70.21,"USE - only lab, no issues",0.156,USE,0.02,USE - account for <DL/LRL,6.72,USE,,,1.468,USE - no issues,232,USE - no issues,,
7/28/2016,3265,30.89779,-87.91708,5/10/2011,NWCA11-1011,NWCA_PROBABILITY,AL,CPL,1,CHEM,233.6,"USE - only lab, no issues",0.009,USE,0.01,USE - account for <DL/LRL,7.28,USE,,,0.663,USE - no issues,96,USE - no issues,,
7/28/2016,3314,37.51965,-122.21677,5/12/2011,NWCA11-1105,NWCA_PROBABILITY,CA,XER,1,CHEM,28570,"USE - only lab, no issues",0.044,USE,0.138,USE - no issues,7.89,USE,,,0.585,USE - no issues,219,USE - no issues,,
7/28/2016,3315,32.26787523,-81.12259198,4/25/2011,NWCA11-2402,NWCA_REVISITS,SC,CPL,2,CHEM,95.31,"USE - only lab, no issues",0.056,USE,0.007,USE - account for <DL/LRL,6.48,USE,,,1.87,USE - no issues,464,USE - no issues,,
7/28/2016,3316,33.94470375,-82.31824702,4/27/2011,NWCA11-2401,NWCA_REVISITS,SC,SAP,2,CHEM,61.58,"USE - only lab, no issues",0.068,USE,0.008,USE - account for <DL/LRL,6.4,USE,,,1.939,USE - no issues,208,USE - no issues,,
7/28/2016,3317,36.72174545,-75.94713541,6/13/2011,NWCA11-2639,NWCA_PROBABILITY,VA,CPL,1,CHEM,2757,"USE - only lab, no issues",0.03,USE,0.034,USE - no issues,6.67,USE,,,1.286,USE - no issues,47,USE - no issues,,
7/28/2016,3339,37.38481586,-76.25894979,6/9/2011,NWCA11-2637,NWCA_PROBABILITY,VA,CPL,1,CHEM,30940,"USE - only lab, no issues",0.03,USE,0.004,USE - no issues,8.23,USE,,,2.769,USE - no issues,328,USE - no issues,,
7/28/2016,3360,36.086082,-77.658468,5/9/2011,NWCA11-2055,NWCA_PROBABILITY,NC,CPL,1,CHEM,276,"USE - field & lab, no issues",0.085,USE,0.042,USE - no issues,6.46,USE,,,0.859,USE - no issues,46,USE - no issues,343.3,6.26
7/28/2016,3362,36.4237928,-77.41947906,5/10/2011,NWCA11-2027,NWCA_PROBABILITY,NC,CPL,1,CHEM,66.99,"USE - field & lab, no issues",0.019,USE,0.008,USE - account for <DL/LRL,6.44,USE,,,1.388,USE - no issues,73,USE - no issues,65.3,5.24
7/28/2016,3366,32.26787523,-81.12259198,4/6/2011,NWCA11-2402,NWCA_PROBABILITY,SC,CPL,1,CHEM,85.99,"USE - only lab, no issues",0.029,USE,0.005,USE - account for <DL/LRL,6.53,USE,,,1.988,USE - no issues,445,USE - no issues,,
7/28/2016,3401,34.804609,-76.453232,5/23/2011,NWCA11-2066,NWCA_PROBABILITY,NC,CPL,1,CHEM,51290,"USE - field & lab, no issues",0.012,USE,0,USE - account for <DL/LRL,8.26,USE,,,0.39,USE - no issues,36,USE - no issues,40720.9,8.05
7/28/2016,3404,32.81767,-79.72677,5/3/2011,NWCA11-2404,NWCA_PROBABILITY,SC,CPL,1,CHEM,47690,"USE - only lab, no issues",0.13,USE,0.055,USE - no issues,7.78,USE,,,1.026,USE - no issues,850,USE - no issues,,
7/28/2016,3406,39.04199,-79.60713,6/2/2011,NWCA11-2777,NWCA_PROBABILITY,WV,SAP,1,CHEM,72.19,"USE - field & lab, flag issue minor",0.01,USE,0.072,USE - flag issue minor,7.69,USE,,,0.254,USE - flag issue minor,10,USE - flag issue minor,76,7.05
7/28/2016,3411,37.34426,-76.55387,6/7/2011,NWCA11-2647,NWCA_PROBABILITY,VA,CPL,1,CHEM,13730,"USE - only lab, no issues",0.032,USE,0.002,USE - account for <DL/LRL,7.55,USE,,,0.825,USE - no issues,307,USE - no issues,,
7/28/2016,3434,46.11761,-98.87656,6/16/2011,NWCA11-ND-5052,NWCA_PROBABILITY,ND,NPL,1,CHEM,,"USE - only field, no issues",0,USE,0,USE - account for <DL/LRL,8.21,USE,2.23,USE - flag issue minor,2.26,USE - flag issue minor,129,USE - flag issue minor,1402,8.21
7/28/2016,3436,37.32785,-76.28042,6/2/2011,NWCA11-2634,NWCA_PROBABILITY,VA,CPL,1,CHEM,29060,"USE - only lab, no issues",0.1,USE,0.005,USE - no issues,7.48,USE,,,1.363,USE - no issues,152,USE - no issues,,
7/28/2016,3437,37.33234,-76.28352,7/19/2011,NWCA11-2651,NWCA_PROBABILITY,VA,CPL,1,CHEM,24470,"USE - only lab, no issues",0.012,USE,0.001,USE - account for <DL/LRL,7.95,USE,,,0.94,USE - no issues,125,USE - no issues,,
7/28/2016,3438,37.55036,-75.70007,6/30/2011,NWCA11-2652,NWCA_PROBABILITY,VA,CPL,1,CHEM,40480,"USE - only lab, no issues",0.019,USE,0.003,USE - account for <DL/LRL,7.7,USE,,,0.405,USE - no issues,95,USE - no issues,,
7/28/2016,3451,44.30423,-68.2136,8/1/2011,NWCA11-R305,NWCA_NOT_PROBABILITY,ME,NAP,1,CHEM,98.27,"USE - only lab, no issues",0.032,USE,0.016,USE - account for <DL/LRL,6.49,USE,,,0.353,USE - no issues,25,USE - no issues,,
7/28/2016,3454,40.9991539,-82.01442268,6/29/2011,NWCA11-OH-3020,NWCA_PROBABILITY,OH,NAP,1,CHEM,404.4,"USE - only lab, no issues",0.335,USE,0.011,USE - account for <DL/LRL,6.9,USE,,,1.519,USE - no issues,1448,USE - no issues,,
7/28/2016,3456,47.19957,-98.7878,7/6/2011,NWCA11-ND-5001,NWCA_PROBABILITY,ND,TPL,1,CHEM,173.8,"USE - field & lab, no issues",0.065,USE,0.006,USE - account for <DL/LRL,7,USE,,,1.685,USE - no issues,591,USE - no issues,172,6.92
7/28/2016,3457,47.19957,-98.7878,7/21/2011,NWCA11-ND-5001,NWCA_REVISITS,ND,TPL,2,CHEM,135.4,"USE - field & lab, flag issue minor",0.056,USE,0.007,USE - account for <DL/LRL,6.7,USE,,,1.968,USE - flag issue minor,897,USE - flag issue minor,137,6.66
7/28/2016,3468,34.23351,-91.96092,6/2/2011,NWCA11-1054,NWCA_PROBABILITY,AR,CPL,1,CHEM,,REJECT - no usable value,0.0279,USE,0,USE - account for <DL/LRL,,REJECT,,REJECT - no usable value,1.21,REJECT - analyte not TN,355,REJECT - analyte not TP,,
7/28/2016,3469,30.27089,-87.74002,7/6/2011,NWCA11-1021,NWCA_PROBABILITY,AL,CPL,1,CHEM,28540,"USE - only lab, no issues",0.045,USE,0.007,USE - no issues,7.25,USE,,,0.871,USE - no issues,205,USE - no issues,,
7/28/2016,3471,30.26917008,-87.74910327,6/22/2011,NWCA11-1017,NWCA_PROBABILITY,AL,CPL,1,CHEM,24280,"USE - only lab, no issues",0.944,USE,0.004,USE - no issues,6.8,USE,,,2.806,USE - flag issue minor,208,USE - no issues,,
